nazwa;nazwa og??lna ;kolor;Cena brutto:;szerokosc profilu1;szerokosc profilu2;width;height
KSP_049_10x479x729;?õciana pionowa;fornir orzech polysk;1840;523;523;;
KSP_050_10x523x523;?õciana pionowa;fornir orzech polysk;1445;523;729;;
KSP_051_10x523x729;?õciana pionowa;fornir orzech polysk;2008;729;729;;
KSP_052_10x729x729;?õciana pionowa;fornir orzech polysk;2793;329;229;;
KSP_057_10x523x374;?õciana pionowa;PC mat;361;374;523;;
KSP_058_10x523x154;?õciana pionowa;PC mat;157;154;523;;
KSP_055_10x479x374;?õciana pionowa;PC mat;336;479;374;;
KSPO_001_12x362x262;p???Çka - poziom;PC mat;214;329;329;;
KSPO_002_12x362x362;p???Çka - poziom;PC mat;271;329;374;;
KSPO_003_12x362x407;p???Çka - poziom;PC mat;297;329;420;;
KSPO_004_12x362x453;p???Çka - poziom;PC mat;322;329;479;;
KSPO_005_12x362x512;p???Çka - poziom;PC mat;356;329;523;;
KSPO_006_12x362x556;p???Çka - poziom;PC mat;380;329;729;;
KSPO_007_12x362x762;p???Çka - poziom;PC mat;498;374;229;;
KSPO_008_12x407x262;p???Çka - poziom;PC mat;234;374;374;;
KSPO_009_12x407x407;p???Çka - poziom;PC mat;324;374;420;;
KSPO_010_12x407x453;p???Çka - poziom;PC mat;352;374;479;;
KSPO_011_12x407x512;p???Çka - poziom;PC mat;389;374;523;;
KSPO_012_12x407x556;p???Çka - poziom;PC mat;417;374;729;;
KSPO_013_12x407x762;p???Çka - poziom;PC mat;544;329;523;;
KSPO_017_12x362x625;p???Çka - poziom;PC mat;426;329;229;;
KSPO_001_12x362x262;p???Çka - poziom;PC polysk;271;329;329;;
KSPO_002_12x362x362;p???Çka - poziom;PC polysk;348;329;374;;
KSPO_003_12x362x407;p???Çka - poziom;PC polysk;383;329;420;;
KSPO_004_12x362x453;p???Çka - poziom;PC polysk;420;329;479;;
KSPO_005_12x362x512;p???Çka - poziom;PC polysk;466;329;523;;
KSPO_006_12x362x556;p???Çka - poziom;PC polysk;501;329;729;;
KSPO_007_12x362x762;p???Çka - poziom;PC polysk;662;374;229;;
KSPO_008_12x407x262;p???Çka - poziom;PC polysk;298;374;374;;
KSPO_009_12x407x407;p???Çka - poziom;PC polysk;422;374;420;;
KSPO_010_12x407x453;p???Çka - poziom;PC polysk;463;374;479;;
KSPO_011_12x407x512;p???Çka - poziom;PC polysk;514;374;523;;
KSPO_012_12x407x556;p???Çka - poziom;PC polysk;551;374;729;;
KSPO_013_12x407x762;p???Çka - poziom;PC polysk;730;329;523;;
KSPO_017_12x362x625;p???Çka - poziom;PC polysk;562;329;229;;
KSPO_001_12x362x262;p???Çka - poziom;fornir dab mat;276;329;329;;
KSPO_002_12x362x362;p???Çka - poziom;fornir dab mat;358;329;374;;
KSPO_003_12x362x407;p???Çka - poziom;fornir dab mat;393;329;420;;
KSPO_004_12x362x453;p???Çka - poziom;fornir dab mat;429;329;479;;
KSPO_005_12x362x512;p???Çka - poziom;fornir dab mat;477;329;523;;
KSPO_006_12x362x556;p???Çka - poziom;fornir dab mat;512;329;729;;
KSPO_007_12x362x762;p???Çka - poziom;fornir dab mat;679;374;229;;
KSPO_008_12x407x262;p???Çka - poziom;fornir dab mat;304;374;374;;
KSPO_009_12x407x407;p???Çka - poziom;fornir dab mat;433;374;420;;
KSPO_010_12x407x453;p???Çka - poziom;fornir dab mat;474;374;479;;
KSPO_011_12x407x512;p???Çka - poziom;fornir dab mat;527;374;523;;
KSPO_012_12x407x556;p???Çka - poziom;fornir dab mat;566;374;729;;
KSPO_013_12x407x762;p???Çka - poziom;fornir dab mat;749;329;523;;
KSPO_017_12x362x625;p???Çka - poziom;fornir dab mat;577;329;229;;
KSPO_001_12x362x262;p???Çka - poziom;fornir orzech mat;291;329;329;;
KSPO_002_12x362x362;p???Çka - poziom;fornir orzech mat;378;329;374;;
KSPO_003_12x362x407;p???Çka - poziom;fornir orzech mat;417;329;420;;
KSPO_004_12x362x453;p???Çka - poziom;fornir orzech mat;457;329;479;;
KSPO_005_12x362x512;p???Çka - poziom;fornir orzech mat;509;329;523;;
KSPO_006_12x362x556;p???Çka - poziom;fornir orzech mat;546;329;729;;
KSPO_007_12x362x762;p???Çka - poziom;fornir orzech mat;725;374;229;;
KSPO_008_12x407x262;p???Çka - poziom;fornir orzech mat;321;374;374;;
KSPO_009_12x407x407;p???Çka - poziom;fornir orzech mat;472;374;420;;
KSPO_010_12x407x453;p???Çka - poziom;fornir orzech mat;503;374;479;;
KSPO_011_12x407x512;p???Çka - poziom;fornir orzech mat;560;374;523;;
KSPO_012_12x407x556;p???Çka - poziom;fornir orzech mat;603;374;729;;
KSPO_013_12x407x762;p???Çka - poziom;fornir orzech mat;800;329;523;;
KSPO_017_12x362x625;p???Çka - poziom;fornir orzech mat;614;329;229;;
KSPO_001_12x362x262;p???Çka - poziom;fornir orzech polysk;450;329;329;;
KSPO_002_12x362x362;p???Çka - poziom;fornir orzech polysk;597;329;374;;
KSPO_003_12x362x407;p???Çka - poziom;fornir orzech polysk;664;329;420;;
KSPO_004_12x362x453;p???Çka - poziom;fornir orzech polysk;730;329;479;;
KSPO_005_12x362x512;p???Çka - poziom;fornir orzech polysk;819;329;523;;
KSPO_006_12x362x556;p???Çka - poziom;fornir orzech polysk;883;329;729;;
KSPO_007_12x362x762;p???Çka - poziom;fornir orzech polysk;1186;374;229;;
KSPO_008_12x407x262;p???Çka - poziom;fornir orzech polysk;498;374;374;;
KSPO_009_12x407x407;p???Çka - poziom;fornir orzech polysk;738;374;420;;
KSPO_010_12x407x453;p???Çka - poziom;fornir orzech polysk;813;374;479;;
KSPO_011_12x407x512;p???Çka - poziom;fornir orzech polysk;909;374;523;;
KSPO_012_12x407x556;p???Çka - poziom;fornir orzech polysk;981;374;729;;
KSPO_013_12x407x762;p???Çka - poziom;fornir orzech polysk;1321;329;523;;
KSZ_001;Szuflada zewnƒôtrzna;PC mat;1069;;;229;79
KSZ_002;Szuflada zewnƒôtrzna;PC mat;1115;;;329;79
KSZ_003;Szuflada zewnƒôtrzna;PC mat;1135;;;374;79
KSZ_004;Szuflada zewnƒôtrzna;PC mat;1155;;;420;79
KSZ_005;Szuflada zewnƒôtrzna;PC mat;1181;;;479;79
KSZ_006;Szuflada zewnƒôtrzna;PC mat;1202;;;523;79
KSZ_007;Szuflada zewnƒôtrzna;PC mat;1296;;;729;79
KSZ_008;Szuflada zewnƒôtrzna;PC mat;1109;;;229;154
KSZ_009;Szuflada zewnƒôtrzna;PC mat;1165;;;329;154
KSZ_010;Szuflada zewnƒôtrzna;PC mat;1189;;;374;154
KSZ_011;Szuflada zewnƒôtrzna;PC mat;1215;;;420;154
KSZ_012;Szuflada zewnƒôtrzna;PC mat;1248;;;479;154
KSZ_013;Szuflada zewnƒôtrzna;PC mat;1272;;;523;154
